Loan_ID,CoapplicantIncome,Credit_History,income_loan_ratio,loan_per_income,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Loan_Status
LP001732,-0.5451105070263733,-2.4941107103122175,0.4872444302335802,-1.0737159315840505,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
LP001052,0.45785680953098784,0.40094451135042736,-0.18678702753589763,-0.12492201490580805,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
LP001585,-0.5451105070263733,0.40094451135042736,0.6326344797577164,-1.1732463547849215,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
LP001267,0.0998746288520528,0.40094451135042736,-0.8473023079537628,3.1194384456735142,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
LP001528,-0.5451105070263733,-2.4941107103122175,0.05923636315261644,-0.5729181119387246,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
LP002855,-0.5451105070263733,0.40094451135042736,0.2668124420437344,-0.8343364941478254,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
LP001508,-0.5451105070263733,0.40094451135042736,0.3253428965738088,-0.9021472734773047,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
LP001514,0.9931156065039933,0.40094451135042736,0.45984359387748824,-1.0427380854275332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
LP001046,1.3836727940454752,0.40094451135042736,-0.37847826659488965,0.38388591372428915,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
LP002097,0.0696998856530621,0.40094451135042736,0.04835103648453666,-0.556708679292344,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
LP002131,0.19828543905785198,0.40094451135042736,-0.25069259189122745,0.018550467580514252,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
LP001639,-0.5451105070263733,0.40094451135042736,-0.4705940500639547,0.6782118941771894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
LP002543,-0.5451105070263733,0.40094451135042736,-0.45754711089745315,0.6477851388911471,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
LP001580,-0.5451105070263733,0.40094451135042736,-0.2927033568652295,0.13308725098836457,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
LP002978,-0.5451105070263733,0.40094451135042736,-0.27974282307129733,0.07359318866784707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
